Total Pink Salmon adult biomass																	Total Chum Salmon adult biomass																	Total Sockeye Salmon adult biomass																				
																																																			Supplementary Table 16. Adult biomass (catch and escapement in thousands of metric tons) of each species across the Pacific Rim 1952-2015.			
Supplementary Table 13. Biomass (catch and escapement in metric tons) of total Pink Salmon returning  to regions of Asia and North America 1952-2015.																	Supplementary Table 14. Biomass (catch and escapement in metric ton) of total  Chum Salmon returning to regions of Asia and North America 1952-2015.																	Supplementary Table 15. Biomass (catch and escapement in metric tons) of total  Sockeye Salmon returning  to regions of Asia and North America 1952-2015.																				
																																																						
Year	Korea	Japan	M&I	WKam	EKam	WAK	SPen	Kod	CI	PWS	SEAK	NBC	SBC	WA	TOTAL		Year	Korea	Japan	M&I	WKam	EKam	WAK	SPen	Kod	CI	PWS	SEAK	NBC	SBC	WA	TOTAL		Year	Korea	Japan	M&I	WKam	EKam	WAK	SPen	Kod	CI	PWS	SEAK	NBC	SBC	WC	TOTAL		Pink	Chum	Sockeye	Total
1973.00	0.00	6953.00	110153.00	13350.00	25118.00	525.00	823.00	2159.00	2612.00	9928.00	23723.00	11402.00	16717.00	1940.00	225402.00		1973.00	0.00	49266.00	50901.00	1128.00	6389.00	23090.00	2296.00	2420.00	7922.00	6916.00	19498.00	24692.00	42082.00	3029.00	239631.00		1973.00	0.00	0.00	553.00	3539.00	11399.00	14249.00	6185.00	3121.00	4645.00	3495.00	2842.00	25101.00	25912.00	1754.00	102795.00		225	240	103	568
1974.00	0.00	3163.00	89657.00	4222.00	24870.00	7323.00	1683.00	9590.00	2558.00	6187.00	22338.00	18734.00	7487.00	0.00	197812.00		1974.00	0.00	63449.00	55690.00	2999.00	6156.00	25350.00	2835.00	1405.00	4545.00	1796.00	18230.00	18222.00	13801.00	4032.00	218508.00		1974.00	0.00	0.00	1551.00	8681.00	2973.00	33403.00	4578.00	3877.00	3193.00	4114.00	2949.00	15971.00	36184.00	720.00	118195.00		198	219	118	535
1975.00	0.00	6367.00	119616.00	47844.00	57267.00	380.00	2112.00	7960.00	5485.00	15449.00	22584.00	14666.00	27957.00	1209.00	328897.00		1975.00	0.00	89179.00	41887.00	507.00	5297.00	30488.00	1672.00	880.00	8330.00	646.00	10319.00	5572.00	11187.00	1287.00	207251.00		1975.00	0.00	0.00	510.00	3708.00	10079.00	65900.00	3107.00	2532.00	3947.00	3237.00	2375.00	9193.00	10578.00	646.00	115813.00		329	207	116	652
1976.00	0.00	4044.00	94392.00	17816.00	27414.00	6384.00	9558.00	27082.00	6404.00	10585.00	56426.00	23972.00	11090.00	0.00	295167.00		1976.00	0.00	58400.00	64705.00	821.00	7020.00	24504.00	3801.00	3833.00	4228.00	2054.00	29470.00	9663.00	23315.00	5147.00	236962.00		1976.00	0.00	0.00	492.00	4349.00	9013.00	39678.00	6965.00	4979.00	8219.00	5377.00	4898.00	9172.00	12888.00	756.00	106788.00		295	237	107	639
1977.00	0.00	3874.00	99118.00	82099.00	65386.00	575.00	11625.00	16748.00	6909.00	15724.00	55166.00	15601.00	21870.00	2352.00	397046.00		1977.00	0.00	51852.00	47795.00	1297.00	12188.00	31714.00	7065.00	7452.00	15517.00	3635.00	6763.00	9998.00	21118.00	3563.00	219959.00		1977.00	0.00	0.00	480.00	1138.00	6816.00	36196.00	11013.00	5881.00	11436.00	5823.00	6415.00	12179.00	25544.00	2355.00	125277.00		397	220	125	742
1978.00	0.00	2069.00	97974.00	20598.00	14584.00	28672.00	18082.00	33863.00	7598.00	10233.00	58093.00	25430.00	4230.00	0.00	321426.00		1978.00	0.00	60419.00	47389.00	3163.00	9890.00	30538.00	6489.00	4882.00	4644.00	3137.00	7631.00	14097.00	30096.00	7754.00	230128.00		1978.00	0.00	0.00	514.00	2618.00	9340.00	64993.00	8549.00	6462.00	10909.00	3469.00	4444.00	10597.00	33397.00	1215.00	156506.00		321	230	157	708
1979.00	0.00	1673.00	84138.00	102278.00	67503.00	1644.00	20875.00	24481.00	9506.00	36654.00	59198.00	15790.00	23469.00	3129.00	450339.00		1979.00	0.00	84975.00	43344.00	2182.00	13389.00	25616.00	5267.00	3378.00	9788.00	1778.00	12375.00	8446.00	11198.00	1587.00	223323.00		1979.00	0.00	0.00	644.00	2109.00	8082.00	122986.00	5673.00	5336.00	4972.00	2545.00	5577.00	10669.00	25567.00	945.00	195104.00		450	223	195	869
1980.00	0.00	1993.00	113456.00	32582.00	5807.00	15313.00	17148.00	36804.00	7580.00	28110.00	56657.00	22107.00	5532.00	0.00	343088.00		1980.00	0.00	81037.00	43983.00	1296.00	8483.00	37473.00	6547.00	6401.00	4590.00	2033.00	18044.00	12972.00	23511.00	5303.00	251674.00		1980.00	0.00	0.00	524.00	3764.00	8342.00	178308.00	4236.00	6275.00	6862.00	1594.00	4349.00	7454.00	12616.00	1704.00	236026.00		343	252	236	831
1981.00	0.00	3317.00	73532.00	64876.00	78825.00	2046.00	16959.00	25281.00	11458.00	45586.00	75685.00	26746.00	38543.00	1144.00	463998.00		1981.00	0.00	105736.00	38251.00	2412.00	10994.00	43072.00	9822.00	7659.00	13218.00	7409.00	8311.00	10561.00	23094.00	4079.00	284616.00		1981.00	0.00	0.00	491.00	4707.00	7691.00	115722.00	8957.00	6844.00	7809.00	4226.00	4162.00	15429.00	30586.00	755.00	207379.00		464	285	207	956
1982.00	0.00	1800.00	65442.00	56774.00	21459.00	9864.00	13984.00	22104.00	3677.00	42269.00	62767.00	10712.00	1636.00	0.00	312488.00		1982.00	0.00	101847.00	44992.00	2109.00	8041.00	27634.00	9418.00	8788.00	12133.00	7710.00	11260.00	13238.00	28547.00	7824.00	283541.00		1982.00	0.00	2.00	662.00	3439.00	6193.00	80713.00	8331.00	7994.00	13618.00	10449.00	5953.00	22117.00	52166.00	1410.00	213046.00		312	284	213	809
1983.00	0.00	2269.00	93063.00	207239.00	46157.00	855.00	6457.00	10732.00	3715.00	31176.00	87349.00	35848.00	38114.00	2000.00	564974.00		1983.00	0.00	118577.00	47778.00	798.00	19187.00	27515.00	7208.00	7112.00	9100.00	6690.00	8189.00	8475.00	17417.00	3518.00	281562.00		1983.00	0.00	4.00	719.00	3659.00	8229.00	133592.00	9409.00	6204.00	17798.00	4463.00	5015.00	10976.00	24588.00	1124.00	225779.00		565	282	226	"1,072"
1984.00	0.00	2742.00	48267.00	108964.00	32881.00	12711.00	28132.00	26748.00	4034.00	56702.00	84483.00	25124.00	1301.00	0.00	432090.00		1984.00	0.00	134303.00	40219.00	2874.00	11262.00	36647.00	10792.00	4757.00	6858.00	5798.00	32574.00	11941.00	17479.00	5899.00	321403.00		1984.00	0.00	6.00	526.00	5316.00	7585.00	118936.00	12606.00	8999.00	9360.00	5844.00	4581.00	9470.00	21860.00	1958.00	207046.00		432	321	207	961
1985.00	0.00	10908.00	102318.00	12488.00	27912.00	332.00	11213.00	17650.00	3025.00	52972.00	140620.00	38930.00	39594.00	4181.00	462143.00		1985.00	0.00	168795.00	36091.00	9293.00	14475.00	30194.00	6490.00	3563.00	7204.00	10825.00	23809.00	17055.00	36684.00	7270.00	371748.00		1985.00	0.00	8.00	387.00	10760.00	6339.00	106864.00	4892.00	11298.00	14346.00	5942.00	5983.00	22318.00	39563.00	1566.00	230264.00		462	372	230	"1,064"
1986.00	0.00	5219.00	65875.00	64112.00	5740.00	2410.00	11182.00	23772.00	6510.00	20949.00	127794.00	54075.00	4153.00	0.00	391791.00		1986.00	0.00	163914.00	42177.00	6215.00	17021.00	28851.00	8925.00	6243.00	9536.00	7439.00	22238.00	23582.00	38769.00	7930.00	382840.00		1986.00	0.00	9.00	520.00	9098.00	5744.00	79007.00	7475.00	13717.00	15933.00	5592.00	4795.00	12904.00	49027.00	1131.00	204952.00		392	383	205	980
1987.00	0.00	9628.00	109654.00	2407.00	69078.00	302.00	5797.00	12713.00	1765.00	54166.00	54046.00	29936.00	49604.00	3347.00	402442.00		1987.00	0.00	145255.00	39217.00	5615.00	13790.00	29554.00	7428.00	3709.00	4468.00	9222.00	25339.00	14819.00	21021.00	8509.00	327945.00		1987.00	0.00	11.00	491.00	12800.00	6000.00	92192.00	9187.00	7532.00	32698.00	7327.00	5626.00	14361.00	25213.00	1480.00	214918.00		402	328	215	945
1988.00	0.00	7686.00	53050.00	52951.00	11947.00	10940.00	24689.00	30700.00	3647.00	23574.00	36451.00	48567.00	4848.00	0.00	309049.00		1988.00	0.00	171347.00	44271.00	5181.00	8829.00	43397.00	10479.00	7232.00	8752.00	11170.00	27521.00	27259.00	30403.00	10848.00	406688.00		1988.00	0.00	15.00	494.00	11694.00	5759.00	73950.00	4546.00	14925.00	23191.00	2272.00	3917.00	15796.00	13224.00	2318.00	172103.00		309	407	172	888
1989.00	0.00	9826.00	134475.00	2372.00	84955.00	314.00	17876.00	35975.00	2959.00	43044.00	139300.00	28050.00	18418.00	3922.00	521486.00		1989.00	0.00	181872.00	43271.00	3681.00	10006.00	30240.00	4148.00	3990.00	3363.00	5862.00	12452.00	12531.00	30637.00	5356.00	347408.00		1989.00	0.00	13.00	448.00	11076.00	4217.00	133810.00	5954.00	8711.00	18236.00	4008.00	6005.00	9677.00	47097.00	683.00	249934.00		521	347	250	"1,119"
1990.00	0.00	7070.00	101662.00	41667.00	35313.00	8178.00	8748.00	17259.00	2747.00	65324.00	81382.00	47298.00	8023.00	0.00	424671.00		1990.00	0.00	226551.00	36659.00	4442.00	15747.00	22534.00	6452.00	3663.00	2811.00	4937.00	14404.00	21214.00	39218.00	6888.00	405518.00		1990.00	0.00	16.00	400.00	20661.00	1932.00	139283.00	8461.00	19224.00	12554.00	2134.00	6013.00	10602.00	59067.00	660.00	281008.00		425	406	281	"1,111"
1991.00	0.00	16212.00	195045.00	4097.00	120928.00	255.00	17842.00	24866.00	1643.00	47267.00	109482.00	45823.00	30643.00	2056.00	616160.00		1991.00	0.00	194972.00	38757.00	3601.00	5537.00	25374.00	7919.00	6072.00	2726.00	1253.00	16119.00	10230.00	36492.00	5831.00	354884.00		1991.00	0.00	15.00	723.00	17529.00	1789.00	123613.00	9181.00	21936.00	8902.00	6279.00	6558.00	14837.00	34787.00	637.00	246786.00		616	355	247	"1,218"
1992.00	0.00	21019.00	147325.00	29712.00	13111.00	5583.00	26155.00	11320.00	3731.00	16063.00	93048.00	30648.00	6428.00	0.00	404143.00		1992.00	278.00	151165.00	31055.00	2963.00	6586.00	22399.00	6988.00	3659.00	3024.00	1907.00	28208.00	7215.00	49545.00	9376.00	324368.00		1992.00	0.00	17.00	756.00	15664.00	5423.00	137753.00	6375.00	16832.00	27908.00	7583.00	6874.00	20303.00	22105.00	923.00	268516.00		404	324	269	997
1993.00	0.00	20098.00	159989.00	871.00	88917.00	1396.00	21444.00	50943.00	2980.00	10827.00	117469.00	12913.00	43762.00	1981.00	533588.00		1993.00	256.00	199769.00	75134.00	3588.00	7195.00	14309.00	4598.00	2327.00	1173.00	4419.00	33502.00	8935.00	42460.00	5868.00	403534.00		1993.00	0.00	19.00	1111.00	18764.00	9523.00	154011.00	8000.00	14580.00	16748.00	7513.00	9845.00	17697.00	64426.00	854.00	323092.00		534	404	323	"1,260"
1994.00	0.00	31710.00	153671.00	146817.00	25026.00	13593.00	17940.00	18051.00	4970.00	52351.00	125901.00	9219.00	3636.00	0.00	602885.00		1994.00	298.00	210035.00	63252.00	5601.00	11486.00	28387.00	10855.00	3748.00	3201.00	4903.00	48040.00	12379.00	56736.00	11785.00	470705.00		1994.00	0.00	21.00	921.00	17282.00	8393.00	142838.00	7745.00	14676.00	13047.00	6169.00	6495.00	9702.00	47054.00	567.00	274911.00		603	471	275	"1,349"
1995.00	0.00	20356.00	154903.00	901.00	104265.00	234.00	48381.00	86086.00	6489.00	32990.00	121248.00	23429.00	39685.00	3631.00	642598.00		1995.00	302.00	249063.00	63085.00	3829.00	7443.00	36225.00	10274.00	6292.00	4709.00	3598.00	56190.00	16277.00	34069.00	5702.00	497056.00		1995.00	0.00	23.00	1519.00	14626.00	14038.00	171336.00	7306.00	17418.00	10796.00	5839.00	5067.00	15090.00	10760.00	257.00	274073.00		643	497	274	"1,414"
1996.00	0.00	34236.00	143215.00	117453.00	20721.00	6146.00	14857.00	11784.00	2435.00	45556.00	170974.00	33399.00	4313.00	0.00	605088.00		1996.00	321.00	285801.00	74444.00	5477.00	7908.00	37162.00	7387.00	3365.00	2269.00	9122.00	87651.00	13048.00	27856.00	7989.00	569799.00		1996.00	0.00	23.00	1619.00	15404.00	13615.00	120062.00	8964.00	19466.00	15117.00	11427.00	10825.00	21067.00	14001.00	1581.00	253172.00		605	570	253	"1,428"
1997.00	0.00	13249.00	196122.00	1390.00	131890.00	394.00	20451.00	24600.00	6753.00	52047.00	115529.00	12009.00	27908.00	742.00	603084.00		1997.00	335.00	255262.00	44836.00	4747.00	6627.00	17769.00	9355.00	2838.00	3710.00	9765.00	65754.00	9359.00	25531.00	3574.00	459462.00		1997.00	0.00	23.00	776.00	10773.00	12134.00	61494.00	4500.00	13628.00	16252.00	14506.00	7714.00	12025.00	37834.00	506.00	192165.00		603	459	192	"1,255"
1998.00	0.00	24003.00	112082.00	183133.00	15466.00	6266.00	27142.00	50117.00	5485.00	55453.00	130352.00	12847.00	4532.00	0.00	626879.00		1998.00	494.00	195155.00	48356.00	6611.00	7211.00	18882.00	8072.00	1999.00	2326.00	6809.00	88568.00	21590.00	59773.00	9200.00	475045.00		1998.00	0.00	19.00	428.00	9666.00	7597.00	55070.00	5016.00	14609.00	6489.00	6686.00	4748.00	4983.00	32816.00	395.00	148522.00		627	475	149	"1,250"
1999.00	0.00	13349.00	139594.00	113.00	127149.00	167.00	23568.00	22377.00	2518.00	75647.00	206020.00	14449.00	15664.00	1644.00	642258.00		1999.00	542.00	169484.00	44008.00	4159.00	10764.00	20720.00	8326.00	5009.00	2250.00	13623.00	88587.00	13855.00	24906.00	3412.00	409645.00		1999.00	0.00	19.00	720.00	9521.00	10596.00	118333.00	10863.00	18106.00	9951.00	8744.00	5067.00	4766.00	10219.00	236.00	207140.00		642	410	207	"1,259"
2000.00	0.00	28045.00	170129.00	132082.00	2329.00	3395.00	13220.00	23279.00	3691.00	68547.00	78738.00	21355.00	11296.00	0.00	556105.00		2000.00	473.00	152033.00	42357.00	9133.00	21021.00	14301.00	7860.00	7062.00	2453.00	21770.00	98444.00	11391.00	15627.00	3012.00	406937.00		2000.00	0.00	21.00	1056.00	14688.00	7889.00	96206.00	8541.00	14079.00	9869.00	6890.00	4606.00	13575.00	19303.00	1546.00	198268.00		556	407	198	"1,161"
2001.00	0.00	8180.00	170688.00	2071.00	56104.00	215.00	19167.00	36339.00	2113.00	65082.00	172333.00	31952.00	11210.00	6715.00	582168.00		2001.00	278.00	211411.00	68972.00	10752.00	17721.00	23639.00	10155.00	5108.00	2092.00	14201.00	49415.00	14705.00	28624.00	11194.00	468269.00		2001.00	0.00	24.00	1370.00	14673.00	9138.00	73842.00	9647.00	13505.00	11891.00	9728.00	6600.00	13439.00	22585.00	1147.00	187590.00		582	468	188	"1,238"
2002.00	0.00	26164.00	144168.00	134321.00	6611.00	4380.00	12241.00	44102.00	5651.00	36256.00	149022.00	23753.00	2533.00	131.00	589335.00		2002.00	48.00	208725.00	54080.00	12653.00	13821.00	21666.00	6331.00	3944.00	3227.00	26468.00	44940.00	16911.00	31166.00	15848.00	459827.00		2002.00	0.00	0.00	722.00	33127.00	5206.00	54505.00	6596.00	10203.00	15079.00	9111.00	4763.00	8903.00	49304.00	1466.00	198986.00		589	460	199	"1,248"
